iter	Passed	Remaining
175	291	1365
176	292	1359
177	293	1353
178	293	1348
179	294	1342
180	295	1336
181	296	1331
182	296	1325
183	297	1320
184	298	1315
185	299	1309
186	300	1304
187	300	1299
188	301	1294
189	302	1289
190	303	1285
191	304	1280
192	305	1275
193	306	1272
194	307	1269
195	308	1266
196	309	1262
197	310	1258
198	311	1254
199	312	1249
200	313	1246
201	314	1241
202	315	1237
203	316	1233
204	317	1229
205	317	1225
206	318	1221
207	319	1217
208	320	1212
209	321	1208
210	322	1204
211	322	1200
212	323	1196
213	324	1192
214	325	1188
215	326	1184
216	327	1180
217	327	1176
218	329	1173
219	330	1170
220	330	1166
221	331	1162
222	332	1158
223	333	1155
224	334	1152
225	335	1149
226	336	1145
227	337	1142
228	338	1138
229	339	1135
230	339	1131
231	340	1128
232	341	1124
233	342	1120
234	343	1117
235	344	1114
236	345	1111
237	346	1108
238	347	1105
239	348	1102
240	348	1099
241	349	1095
242	350	1092
243	351	1088
244	352	1085
245	352	1081
246	353	1078
247	354	1074
248	355	1071
249	356	1068
250	357	1065
251	357	1062
252	358	1059
253	359	1056
254	360	1053
255	361	1050
256	362	1047
257	363	1044
258	363	1040
259	364	1037
260	365	1034
261	366	1031
262	366	1028
263	367	1025
264	368	1022
265	369	1019
266	370	1016
267	371	1013
268	371	1010
269	372	1008
270	373	1005
271	374	1003
272	375	1000
273	376	997
274	377	994
275	377	991
276	378	988
277	379	985
278	380	983
279	381	980
280	382	977
281	382	974
282	383	972
283	384	969
284	385	966
285	386	963
286	386	961
287	387	958
288	388	956
289	389	954
290	390	951
291	391	949
292	392	947
293	393	944
294	394	942
295	395	939
296	396	937
297	396	935
298	397	932
299	398	930
300	399	927
301	400	925
302	401	923
303	402	920
304	403	918
305	404	916
306	405	914
307	405	912
308	406	909
309	407	907
310	408	904
311	409	902
312	410	900
313	411	898
314	412	896
315	412	893
316	413	891
317	414	889
318	415	887
319	416	884
320	417	882
321	418	880
322	419	878
323	420	876
324	421	874
325	421	872
326	422	870
327	423	868
328	424	865
329	425	863
330	426	861
331	426	858
332	427	856
333	428	854
334	429	852
335	430	849
336	430	847
337	431	845
338	432	843
339	433	841
340	434	840
341	435	838
342	436	836
343	437	834
344	438	832
345	439	830
346	440	829
347	441	827
348	442	825
349	443	823
350	444	821
351	445	819
352	446	817
353	447	815
354	448	814
355	449	812
356	450	811
357	451	809
358	453	809
359	454	808
360	456	807
361	457	805
362	458	804
363	459	802
364	460	800
365	461	798
366	462	797
367	463	795
368	464	794
369	465	793
370	466	791
371	467	790
372	469	788
373	470	787
374	471	785
375	472	783
376	473	781
377	474	779
378	474	778
379	475	776
380	476	774
381	477	772
382	478	771
383	479	769
384	480	768
385	481	766
386	482	764
387	483	763
388	484	761
389	485	759
390	486	758
391	487	756
392	488	754
393	489	752
394	490	750
395	491	748
396	491	747
397	492	745
398	494	744
399	494	742
400	495	740
401	496	738
402	497	737
403	498	735
404	499	733
405	500	731
406	500	729
407	501	727
408	502	726
409	503	724
410	504	722
411	505	720
412	505	718
413	506	717
414	507	715
415	508	713
416	509	711
417	510	710
418	510	708
419	511	706
420	512	704
421	513	703
422	514	701
423	515	699
424	516	698
425	517	696
426	518	695
427	519	693
428	520	692
429	520	690
430	521	688
431	522	687
432	523	685
433	524	684
434	525	682
435	526	680
436	526	678
437	527	677
438	528	675
439	529	674
440	530	672
441	531	670
442	532	669
443	533	667
444	533	665
445	534	664
446	535	662
447	536	661
448	537	659
449	538	658
450	539	656
451	540	655
452	541	653
453	541	651
454	542	650
455	543	648
456	544	647
457	545	645
458	546	644
459	547	642
460	548	641
461	549	639
462	550	638
463	551	636
464	552	635
465	553	633
466	554	632
467	555	631
468	556	629
469	557	628
470	557	626
471	558	624
472	559	623
473	560	621
474	561	620
475	561	618
476	562	617
477	563	615
478	564	613
479	565	612
480	566	610
481	566	609
482	567	607
483	568	606
484	569	604
485	570	603
486	571	601
487	572	600
488	572	598
489	573	597
490	574	596
491	576	594
492	577	593
493	577	591
494	578	590
495	579	589
496	580	587
497	581	586
498	582	584
499	583	583
500	584	581
501	585	580
502	586	579
503	587	577
504	588	576
505	589	575
506	590	573
507	591	572
508	592	571
509	593	570
510	594	568
511	595	567
512	596	566
513	597	564
514	598	563
515	599	562
516	600	560
517	601	559
518	602	558
519	603	556
520	604	555
521	605	554
522	605	552
523	606	551
524	608	550
525	609	548
526	610	547
527	610	546
528	611	544
529	612	543
530	613	541
531	614	540
532	615	539
533	616	537
534	617	536
535	618	535
536	619	533
537	620	532
538	620	531
539	621	529
540	622	528
541	623	526
542	624	525
543	625	524
544	626	522
545	627	521
546	628	520
547	628	518
548	629	517
549	631	516
550	632	515
551	632	513
552	633	512
553	634	510
554	635	509
555	636	508
556	637	506
557	637	505
558	638	503
559	639	502
560	640	501
561	641	499
562	642	498
563	643	497
564	643	495
565	645	494
566	645	493
567	646	491
568	647	490
569	648	489
570	649	487
571	650	486
572	651	485
573	652	483
574	652	482
575	653	481
576	654	479
577	655	478
578	656	477
579	657	475
580	657	474
581	659	473
582	660	472
583	661	470
584	661	469
585	662	468
586	663	466
587	664	465
588	665	464
589	666	462
590	666	461
591	667	460
592	668	458
593	669	457
594	670	456
595	671	455
596	672	453
597	673	452
598	674	451
599	675	450
600	676	448
601	676	447
602	677	446
603	678	444
604	679	443
605	680	442
606	681	440
607	681	439
608	682	438
609	683	437
610	684	435
611	685	434
612	686	433
613	687	431
614	687	430
615	688	429
616	689	428
617	690	426
618	691	425
619	692	424
620	693	423
621	694	421
622	695	420
623	695	419
624	696	418
625	697	416
626	698	415
627	699	414
628	700	413
629	701	411
630	702	410
631	703	409
632	704	408
633	705	407
634	706	405
635	706	404
636	707	403
637	708	402
638	709	400
639	710	399
640	711	398
641	712	397
642	713	395
643	713	394
644	714	393
645	716	392
646	716	391
647	717	389
648	718	388
649	719	387
650	720	386
651	721	385
652	722	383
653	723	382
654	724	381
655	725	380
656	725	379
657	726	377
658	727	376
659	728	375
660	729	374
661	730	373
662	731	371
663	732	370
664	734	369
665	735	368
666	736	367
667	737	366
668	738	365
669	739	364
670	740	363
671	742	362
672	743	361
673	744	360
674	745	358
675	746	357
676	747	356
677	748	355
678	749	354
679	750	353
680	751	351
681	752	350
682	753	349
683	754	348
684	755	347
685	755	346
686	756	344
687	757	343
688	758	342
689	759	341
690	760	340
691	761	338
692	762	337
693	763	336
694	764	335
695	765	334
696	766	333
697	766	331
698	767	330
699	768	329
700	769	328
701	770	327
702	771	325
703	772	324
704	773	323
705	774	322
706	774	321
707	775	320
708	776	318
709	777	317
710	778	316
711	779	315
712	780	314
713	781	313
714	782	311
715	783	310
716	784	309
717	785	308
718	786	307
719	787	306
720	788	305
721	789	304
722	790	302
723	791	301
724	792	300
725	793	299
726	793	298
727	794	297
728	796	295
729	797	294
730	798	293
731	799	292
732	799	291
733	800	290
734	801	289
735	802	287
736	803	286
737	804	285
738	805	284
739	806	283
740	807	282
741	808	281
742	809	279
743	810	278
744	811	277
745	812	276
746	813	275
747	814	274
748	815	273
749	816	272
750	817	270
751	818	269
752	819	268
753	819	267
754	821	266
755	821	265
756	823	264
757	824	263
758	826	262
759	828	261
760	829	260
761	831	259
762	832	258
763	834	257
764	835	256
765	837	255
766	838	254
767	840	253
768	842	253
769	843	252
770	845	251
771	846	250
772	848	249
773	849	248
774	850	246
775	851	245
776	852	244
777	853	243
778	855	242
779	856	241
780	858	240
781	859	239
782	860	238
783	861	237
784	862	236
785	863	235
786	864	234
787	865	232
788	866	231
789	867	230
790	869	229
791	870	228
792	871	227
793	872	226
794	873	225
795	874	224
796	876	223
797	877	222
798	878	221
799	879	219
800	880	218
801	881	217
802	882	216
803	884	215
804	885	214
805	886	213
806	887	212
807	888	211
808	889	209
809	889	208
810	891	207
811	892	206
812	893	205
813	894	204
814	895	203
815	897	202
816	898	201
817	899	200
818	900	198
819	901	197
820	902	196
821	903	195
822	904	194
823	905	193
824	905	192
825	906	191
826	907	189
827	908	188
828	909	187
829	910	186
830	911	185
831	912	184
832	913	183
833	914	182
834	915	180
835	916	179
836	917	178
837	918	177
838	919	176
839	919	175
840	920	174
841	921	172
842	922	171
843	923	170
844	924	169
845	925	168
846	926	167
847	927	166
848	928	165
849	929	164
850	930	162
851	931	161
852	932	160
853	933	159
854	934	158
855	935	157
856	936	156
857	937	155
858	937	153
859	938	152
860	939	151
861	940	150
862	941	149
863	942	148
864	943	147
865	944	146
866	945	144
867	946	143
868	946	142
869	947	141
870	948	140
871	949	139
872	950	138
873	951	137
874	952	136
875	952	134
876	953	133
877	954	132
878	955	131
879	956	130
880	957	129
881	958	128
882	959	127
883	959	125
884	960	124
885	961	123
886	962	122
887	963	121
888	964	120
889	965	119
890	966	118
891	967	117
892	968	115
893	968	114
894	969	113
895	970	112
896	971	111
897	972	110
898	973	109
899	974	108
900	974	107
901	975	106
902	976	104
903	977	103
904	978	102
905	979	101
906	980	100
907	981	99
908	981	98
909	982	97
910	983	96
911	984	95
912	985	93
913	986	92
914	987	91
915	988	90
916	988	89
917	989	88
918	990	87
919	991	86
920	992	85
921	993	84
922	993	82
923	994	81
924	995	80
925	996	79
926	997	78
927	998	77
928	999	76
929	1001	75
930	1001	74
931	1002	73
932	1003	72
933	1004	71
934	1005	69
935	1007	68
936	1008	67
937	1009	66
938	1010	65
939	1012	64
940	1013	63
941	1014	62
942	1016	61
943	1017	60
944	1018	59
945	1019	58
946	1020	57
947	1021	56
948	1022	54
949	1023	53
950	1024	52
951	1025	51
952	1026	50
953	1027	49
954	1028	48
955	1029	47
956	1030	46
957	1031	45
958	1032	44
959	1034	43
960	1035	42
961	1036	40
962	1037	39
963	1038	38
964	1039	37
965	1040	36
966	1041	35
967	1042	34
968	1043	33
969	1044	32
970	1045	31
971	1046	30
972	1047	29
973	1048	27
974	1049	26
975	1050	25
976	1051	24
977	1052	23
978	1053	22
979	1054	21
980	1055	20
981	1056	19
982	1057	18
983	1058	17
984	1058	16
985	1059	15
986	1060	13
987	1061	12
988	1062	11
989	1063	10
990	1064	9
991	1065	8
992	1066	7
993	1067	6
994	1068	5
995	1069	4
996	1070	3
997	1070	2
998	1071	1
999	1072	0
